SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,SITE_ZIP_ADDON,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_DIRECTION,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,# OF BOAT SLIPS,# OF CAR PARKING SPACES,# OF CB USING SITE,# OF HB USING SITE,# OF RAMPS,# OF TRAILER PARKING SPACES,BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SEFHIER SITE,SHORE AREA,SHORE MODE,TACKLE SHOPS
73,,BOGGY POINT PUBLIC BOAT RAMPS,28212 MARINA ROAD,ORANGE BEACH,36561,,3,BALDWIN,1,AL,30.28412,-87.53737,"FROM BEACH ROAD (AL182), TURN NORTH ON AL 161, THEN TURN EAST ON MARINA RD.  LAUNCH IS AT THE END OF THE ROAD.",,,Active,,0,4,0,0,2,39,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NA,N/A,NO
73,,RIVER PARK FISHING PIER & BOAT RAMP,Clark Street,PASCAGOULA,39567,,59,JACKSON,28,MS,30.37492,-88.56483,JUST N OF HWY 90 BRDG AT EAST PASCAGOULA RIVER,,,Active,,0,50,0,0,2,20,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
74,,"PT LA HACHE MARINA, BESHEL BT LNCH",,POINT A LA HACHE,70082,,75,PLAQUEMINES,22,LA,29.56875,-89.76458,"HWY 39, OVER LEVEE EASTSIDE OF TOWN",DON BESHEL,5043334469,Active,,70,40,0,0,2,40,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,YES
75,,Old Hwy 90 Fishing Bridge,Hwy 90 Service Road,Ocean Springs,39564,,59,JACKSON,28,MS,30.40678,-88.83852,Hwy 90 West to the Hwy 90 Service road. turn Right. Go to the End.,,,Active,,0,32,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
75,,WEEKS BAY PUBLIC BOAT RAMP,10471 COUNTY ROAD 1,FAIRHOPE,36532,5933,3,BALDWIN,1,AL,30.37653,-87.83727,"SOUTH OFF HWY 98 AT CO. RD. 27, E ON CO RD. 1 TO END",,,Active,,0,12,0,0,2,40,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
76,,WASHINGTON ST BEACH PARK,South Beach Blvd,BAY ST LOUIS,39520,,45,HANCOCK,28,MS,30.3022,-89.32747,SOUTH BEACH BLVD AND WASHINGTON ST PIER DAMAGEDJETTIESOKRAMPSdamage,,,Active,,0,69,0,0,2,20,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
79,,T-IRV'S MARINA,9499 Grand Caillou Rd,DULAC,70353,2121,109,TERREBONNE,22,LA,29.3414,-90.72995,"BAYOU GRAND CALLIOU, SOUTH OF DULAC STAY RT ON SHELL DR. TO MARINA",IRVIN Carlos & PAM,9855634295,Active,,0,6,0,0,2,100,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
82,,"5 MILE WATERFRONT, S BEACH BLVD",,BAY ST LOUIS,39520,,45,HANCOCK,28,MS,30.28108,-89.36997,Starting (but not including) Garfield Ladner Pier to the Silver Slipper Casino waterfront.,,,Active,,0,0,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
83,,QUINTANA PUBLIC LAUNCH,,CYPREMORT POINT,,,101,ST. MARY,22,LA,29.7233,-91.8632,"HWY 319,NEXT TO STATE PARK",,,Active,,0,65,0,0,4,65,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NA,N/A,YES
85,,OCEAN SPRINGS COMMUNITY PIER,Front Beach Drive,OCEAN SPRINGS,39564,,59,JACKSON,28,MS,30.40498,-88.82952,FRONT BEACH AND MARTIN AVE,,,Active,,0,12,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
