Row,Port Num,Port Name,lat,lon,MarineTrafficPortType,MarineTrafficPortType_num,ConsolidatedPortType,ConsolidatedPortType_num
505,168,DUCK KEY,24.77417,-80.91614,Small-sized Marina/Local Harbour,9,Recreational,3
508,169,DULAC,29.342,-90.72063,Medium-sized Marina/Local Harbour,5,Recreational,3
511,170,DUNEDIN,28.0108,-82.7919,Small-sized Marina/Local Harbour,9,Recreational,3
514,171,EAGLE POINT,29.49614,-94.91052,Medium-sized Marina/Local Harbour,5,Recreational,3
517,172,ELDRED'S,26.8292,-82.26826,Small-sized Marina/Local Harbour,9,Recreational,3
520,173,ENDEVOUR,29.55967,-95.04195,Medium-sized Marina/Local Harbour,5,Recreational,3
523,174,ESPLANADE,25.95339,-81.72935,Small-sized Marina/Local Harbour,9,Recreational,3
526,175,EVERGLADES ISLE,25.8708,-81.3825,Small-sized Marina/Local Harbour,9,Recreational,3
529,176,FACTORY BAY,25.96772,-81.72689,Small-sized Marina/Local Harbour,9,Recreational,3
532,177,FIESTA KEY,24.8436,-80.79221,Small-sized Marina/Local Harbour,9,Recreational,3
535,178,FISH TALE,26.4143,-81.8995,Medium-sized Marina/Local Harbour,5,Recreational,3
538,179,FISH TRAP,26.33113,-81.83188,Small-sized Marina/Local Harbour,9,Recreational,3
541,180,FISHERMAN'S VILLAGE,26.92847,-82.06295,Small-sized Marina/Local Harbour,9,Recreational,3
544,181,FISHERMAN'S WHARF,27.1042,-82.4444,Small-sized Marina/Local Harbour,9,Recreational,3
547,182,FLUFFY LANDING,30.42955,-86.13762,Small-sized Marina/Local Harbour,9,Recreational,3
550,183,FLY CREEK,30.5419,-87.8997,Medium-sized Marina/Local Harbour,5,Recreational,3
553,184,FORT MYERS BASIN,26.6486,-81.8683,Medium-sized Marina/Local Harbour,5,Recreational,3
556,185,FORT MYERS BEACH,26.45402,-81.94534,Medium-sized Marina/Local Harbour,5,Recreational,3
559,186,FORT MYERS BOAT CLUB,26.5368,-81.9217,Small-sized Marina/Local Harbour,9,Recreational,3
562,187,FORT MYERS YACHT,26.63625,-81.88182,Small-sized Marina/Local Harbour,9,Recreational,3
565,188,FORT WALTON BEACH,30.4036,-86.6192,Medium-sized Marina/Local Harbour,5,Recreational,3
568,189,FORT WALTON,30.4258,-86.5911,Small-sized Marina/Local Harbour,9,Recreational,3
571,190,FOUR WINDS,26.70086,-82.15622,Small-sized Marina/Local Harbour,9,Recreational,3
574,191,FREEDOM BOAT CLUB,27.10646,-82.46107,Small-sized Marina/Local Harbour,9,Recreational,3
577,192,FRESHWATER,29.54669,-92.30756,Medium-sized Marina/Local Harbour,5,Recreational,3
580,193,FULTON,28.07258,-97.03668,Small-sized Marina/Local Harbour,9,Recreational,3
583,194,GALATI YACHT,27.5269,-82.7206,Small-sized Marina/Local Harbour,9,Recreational,3
586,195,GASPARILLA,26.8339,-82.2583,Small-sized Marina/Local Harbour,9,Recreational,3
589,196,GASPARILLA INN,26.75657,-82.2614,Small-sized Marina/Local Harbour,9,Recreational,3
592,197,GATOR CREEK MARINE,26.8925,-82.05078,Small-sized Marina/Local Harbour,9,Recreational,3
595,198,GEIGER KEY,24.5822,-81.6472,Small-sized Marina/Local Harbour,9,Recreational,3
598,199,GEORGE'S,28.06124,-82.7809,Medium-sized Marina/Local Harbour,5,Recreational,3
601,200,GETAWAY,26.46873,-81.95191,Small-sized Marina/Local Harbour,9,Recreational,3
604,201,GIUSEPPI'S WHARF,30.5122,-86.4831,Medium-sized Marina/Local Harbour,5,Recreational,3
607,202,GLADES HAVEN,25.845,-81.3842,Small-sized Marina/Local Harbour,9,Recreational,3
610,203,GLADES RV PARK,26.7883,-81.2303,Small-sized Marina/Local Harbour,9,Recreational,3
613,204,GOOD TIMES,29.66865,-83.38773,Small-sized Marina/Local Harbour,9,Recreational,3
616,205,GRAND LAGOON,30.32562,-87.36822,Small-sized Marina/Local Harbour,9,Recreational,3
619,206,GRASSY KEY,24.7683,-80.9458,Small-sized Marina/Local Harbour,9,Recreational,3
622,207,GRIFFITH'S,30.28854,-87.56466,Small-sized Marina/Local Harbour,9,Recreational,3
625,208,GULF COAST MARINE,26.96821,-82.20901,Medium-sized Marina/Local Harbour,5,Recreational,3
628,209,GULF HARBOR,27.1225,-82.4686,Medium-sized Marina/Local Harbour,5,Recreational,3
631,210,GULF HARBOUR CLUB,26.53191,-81.93942,Medium-sized Marina/Local Harbour,5,Recreational,3
634,211,GULF SHORES,30.23219,-87.99379,Small-sized Marina/Local Harbour,9,Recreational,3
637,212,GULFPORT,27.73956,-82.69635,Medium-sized Marina/Local Harbour,5,Recreational,3
640,213,GULFS,28.2386,-82.7503,Small-sized Marina/Local Harbour,9,Recreational,3
