lat,lng
30.2375,-93.23882
29.76458,-89.7918
30.21803,-89.82318
29.75885,-89.78307
30.01667,-89.96667
30.26853,-89.95588
29.98763,-93.3375
29.69167,-90.09667
30.37852,-90.1611
29.76497,-89.7918
30.30768,-90.40587
30.02938,-93.27493
30.03153,-90.03693
29.42012,-90.47402
29.25065,-89.36165
29.26167,-89.96167
29.15833,-90.17832
29.82345,-89.75608
30.34973,-90.05938
29.87518,-92.0654
29.65378,-90.10598
29.15332,-90.185
29.94323,-91.8349
29.33647,-90.8418
29.83517,-91.78733
29.26667,-90.21833
29.38163,-90.62083
29.41862,-90.55443
29.2461,-90.66158
30.06583,-89.80483
29.98163,-89.88997
29.38152,-90.59453
29.3905,-90.2778
29.68542,-90.10132
29.47005,-90.34225
29.39492,-90.58737
29.66693,-90.11015
29.7681,-89.7905
29.91527,-91.90402
29.35612,-89.52233
29.31452,-90.7142
29.8206,-89.65825
29.55087,-92.30912
30.06515,-89.80638
30.06922,-89.81008
29.86633,-93.45317
30.00367,-93.34167
29.21,-90.03333
29.27888,-90.64362
29.31315,-89.389
29.38457,-90.72903
29.28483,-89.36062
29.15167,-90.18163
29.79055,-93.75007
29.78385,-91.5233
29.37598,-89.59557
30.10303,-93.30768
29.24918,-90.66015
29.45215,-90.46628
29.38678,-90.61953
29.27572,-90.6444
30.3614,-90.08852
29.376,-90.71313
29.89633,-90.15833
29.63082,-90.94465
30.00567,-93.33417
30.21695,-89.79857
29.76153,-89.7905
29.9209,-93.3813
29.38828,-90.48287
29.55865,-89.88458
30.10255,-93.69327
30.21108,-89.79342
29.457,-90.563
30.2543,-93.21803
30.25288,-93.24498
30.09725,-93.36037
29.20548,-90.03898
29.96692,-93.34218
29.70603,-92.83063
29.74097,-91.85437
29.73415,-91.85472
29.23843,-90.00295
29.94207,-91.98227
29.24702,-90.20967
30.1499,-89.7408
29.99117,-89.94235
30.1645,-89.73992
30.02649,-90.11242
