strat_id,psu_id,YEAR,ST,CNTY,INTSITE,MODE_FX,AREA_X,PARTY,WAVE,kod,month,TIME,DIST,ART_REEF,wp_int
2019022817wdS:8AM-8PM,2019128171570620190205,2019,28,59.0,90.0,7,5,3.0,1,wd,2,1552.0,8.0,,3226.1255426
2019022817wdS:8AM-8PM,2019128171570620190205,2019,28,59.0,90.0,7,5,3.0,1,wd,2,1556.0,8.0,,3226.1255426
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,51.0,7,5,1.0,1,we,1,1134.0,8.0,,87.733646978
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,51.0,7,5,2.0,1,we,1,1151.0,8.0,,87.733646978
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,51.0,7,5,2.0,1,we,1,1152.0,8.0,,87.733646978
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,51.0,7,5,3.0,1,we,1,1300.0,8.0,,87.733646978
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,51.0,7,5,3.0,1,we,1,1301.0,8.0,,87.733646978
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,51.0,7,5,3.0,1,we,1,1302.0,8.0,,87.733646978
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1550.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1551.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1552.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1608.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1609.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1610.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1635.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1636.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,3.0,1,we,1,1637.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,2.0,1,we,1,1628.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,2.0,1,we,1,1629.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,4.0,1,we,1,1654.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,4.0,1,we,1,1655.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,4.0,1,we,1,1656.0,8.0,,197.20959259
2019012817weS:8AM-8PM,2019128171575020190106,2019,28,47.0,48.0,7,5,4.0,1,we,1,1657.0,8.0,,197.20959259
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,2.0,1,wd,1,1548.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,2.0,1,wd,1,1550.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,1.0,1,wd,1,1617.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,3.0,1,wd,1,1630.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,3.0,1,wd,1,1632.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,3.0,1,wd,1,1634.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190101,2019,28,45.0,64.0,7,5,1.0,1,wd,1,1653.0,8.0,,3841.1558037
2019012817wdS:8AM-8PM,2019128171575920190115,2019,28,47.0,3250.0,7,5,1.0,1,wd,1,1152.0,8.0,,1342.0497055
2019012817weS:8AM-8PM,2019128171575920190121,2019,28,59.0,3988.0,7,5,2.0,1,we,1,1532.0,8.0,,1767.8015757
2019012817weS:8AM-8PM,2019128171575920190121,2019,28,59.0,3988.0,7,5,2.0,1,we,1,1534.0,8.0,,1767.8015757
2019022817wdS:8AM-8PM,2019128171575920190213,2019,28,47.0,48.0,7,5,2.0,1,wd,2,1130.0,8.0,,452.76390472
2019022817wdS:8AM-8PM,2019128171575920190213,2019,28,47.0,48.0,7,5,2.0,1,wd,2,1132.0,8.0,,452.76390472
2019022817wdS:8AM-8PM,2019128171575920190213,2019,28,47.0,51.0,7,5,2.0,1,wd,2,1514.0,8.0,,761.43472174
2019022817wdS:8AM-8PM,2019128171575920190213,2019,28,47.0,51.0,7,5,2.0,1,wd,2,1516.0,8.0,,761.43472174
2019022817weS:8AM-8PM,2019128171575920190223,2019,28,59.0,91.0,7,5,1.0,1,we,2,1123.0,8.0,,1380.8160993
2019022817weS:8AM-8PM,2019128171575920190223,2019,28,59.0,91.0,7,5,1.0,1,we,2,1145.0,8.0,,1380.8160993
2019022817weS:8AM-8PM,2019128171575920190223,2019,28,59.0,91.0,7,5,2.0,1,we,2,1244.0,8.0,,1380.8160993
2019022817weS:8AM-8PM,2019128171575920190223,2019,28,59.0,91.0,7,5,2.0,1,we,2,1246.0,8.0,,1380.8160993
2019012817weS:8AM-8PM,2019128171579420190105,2019,28,59.0,112.0,7,5,1.0,1,we,1,1245.0,8.0,,955.26986297
2019012817weS:8AM-8PM,2019128171579420190105,2019,28,59.0,112.0,7,5,1.0,1,we,1,1247.0,8.0,,955.26986297
2019012817weS:8AM-8PM,2019128171579420190105,2019,28,59.0,112.0,7,5,1.0,1,we,1,1249.0,8.0,,955.26986297
2019012817weS:8AM-8PM,2019128171579420190105,2019,28,59.0,112.0,7,5,1.0,1,we,1,1251.0,8.0,,955.26986297
2019022817weS:8AM-8PM,2019128171579420190216,2019,28,47.0,95.0,7,5,1.0,1,we,2,1525.0,8.0,,302.59948057
2019022817weS:8AM-8PM,2019128171579420190216,2019,28,47.0,95.0,7,5,1.0,1,we,2,1648.0,8.0,,302.59948057
2019022817weS:8AM-8PM,2019128171579420190216,2019,28,47.0,95.0,7,5,1.0,1,we,2,1650.0,8.0,,302.59948057
2019022817weS:8AM-8PM,2019128171579520190218,2019,28,47.0,4311.0,7,5,1.0,1,we,2,1605.0,8.0,,332.13112814
2019012817wdS:8AM-8PM,2019128171579620190122,2019,28,59.0,3988.0,7,5,1.0,1,wd,1,1159.0,8.0,,956.68470636
2019012817wdS:8AM-8PM,2019128171579620190122,2019,28,59.0,3988.0,7,5,1.0,1,wd,1,1219.0,8.0,,956.68470636
2019012817wdS:8AM-8PM,2019128171579620190122,2019,28,59.0,3988.0,7,5,2.0,1,wd,1,1310.0,8.0,,956.68470636
2019012817wdS:8AM-8PM,2019128171579620190122,2019,28,59.0,3988.0,7,5,2.0,1,wd,1,1312.0,8.0,,956.68470636
2019022817wdS:8AM-8PM,2019128171579620190225,2019,28,47.0,95.0,7,5,4.0,1,wd,2,1105.0,8.0,,910.49867819
2019022817wdS:8AM-8PM,2019128171579620190225,2019,28,47.0,95.0,7,5,4.0,1,wd,2,1107.0,8.0,,910.49867819
2019022817wdS:8AM-8PM,2019128171579620190225,2019,28,47.0,95.0,7,5,4.0,1,wd,2,1109.0,8.0,,910.49867819
2019022817wdS:8AM-8PM,2019128171579620190225,2019,28,47.0,95.0,7,5,4.0,1,wd,2,1111.0,8.0,,910.49867819
2019012817weS:8AM-8PM,2019128171579820190126,2019,28,47.0,48.0,7,5,2.0,1,we,1,1145.0,8.0,,92.460928492
2019012817weS:8AM-8PM,2019128171579820190126,2019,28,47.0,48.0,7,5,2.0,1,we,1,1147.0,8.0,,92.460928492
2019012817weS:8AM-8PM,2019128171580520190113,2019,28,59.0,4383.0,7,5,2.0,1,we,1,1201.0,8.0,,1515.2597117
2019012817weS:8AM-8PM,2019128171580520190113,2019,28,59.0,4383.0,7,5,2.0,1,we,1,1203.0,8.0,,1515.2597117
2019012817weS:8AM-8PM,2019128171580520190113,2019,28,59.0,4383.0,7,5,2.0,1,we,1,1357.0,8.0,,1515.2597117
2019012817weS:8AM-8PM,2019128171580520190113,2019,28,59.0,4383.0,7,5,2.0,1,we,1,1359.0,8.0,,1515.2597117
2019022817weS:8AM-8PM,2019128171580520190201,2019,28,47.0,95.0,7,5,1.0,1,we,2,1141.0,8.0,,933.43007668
2019022817wdS:8AM-8PM,2019128171580520190225,2019,28,59.0,91.0,7,5,1.0,1,wd,2,1700.0,8.0,,1567.3999212
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,51.0,7,5,4.0,1,we,2,1251.0,8.0,,464.13650221
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,51.0,7,5,4.0,1,we,2,1256.0,8.0,,464.13650221
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,51.0,7,5,4.0,1,we,2,1301.0,8.0,,464.13650221
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,51.0,7,5,4.0,1,we,2,1306.0,8.0,,464.13650221
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,1.0,1,we,2,1428.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,2.0,1,we,2,1501.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,2.0,1,we,2,1505.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,2.0,1,we,2,1516.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,2.0,1,we,2,1521.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,1.0,1,we,2,1532.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,3.0,1,we,2,1539.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,3.0,1,we,2,1544.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,3.0,1,we,2,1549.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,2.0,1,we,2,1607.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190203,2019,28,47.0,48.0,7,5,2.0,1,we,2,1612.0,8.0,,488.17227203
2019022817weS:8AM-8PM,2019128171580920190217,2019,28,47.0,275.0,7,5,2.0,1,we,2,1405.0,8.0,,1835.1522257
2019022817weS:8AM-8PM,2019128171580920190217,2019,28,47.0,275.0,7,5,2.0,1,we,2,1410.0,8.0,,1835.1522257
2019022817weS:8AM-8PM,2019128171580920190217,2019,28,47.0,275.0,7,5,1.0,1,we,2,1605.0,8.0,,1835.1522257
2019022817weS:8AM-8PM,2019128171580920190217,2019,28,47.0,275.0,7,5,1.0,1,we,2,1640.0,8.0,,1835.1522257
2019022817weS:8AM-8PM,2019128171580920190217,2019,28,47.0,51.0,7,5,2.0,1,we,2,1749.0,8.0,,4556.9151757
2019022817weS:8AM-8PM,2019128171580920190217,2019,28,47.0,51.0,7,5,2.0,1,we,2,1754.0,8.0,,4556.9151757
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,1,2.0,2,we,3,1132.0,1.0,,442.07995829
201903115weS:8AM-8PM,201921151503220190322,2019,1,3.0,116.0,5,1,2.0,2,we,3,1133.0,1.0,,442.07995829
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1101.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1102.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1103.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1104.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1114.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1115.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1116.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,4.0,2,we,4,1117.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,2.0,2,we,4,1221.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151503220190427,2019,1,3.0,116.0,5,1,2.0,2,we,4,1222.0,1.0,,387.32439378
201904115weS:8AM-8PM,201921151524920190405,2019,1,97.0,28.0,5,1,4.0,2,we,4,1506.0,1.0,,608.75108916
201904115weS:8AM-8PM,201921151545320190426,2019,1,3.0,5.0,5,1,3.0,2,we,4,1111.0,1.0,,118.69278474
201904115weS:8AM-8PM,201921151545320190426,2019,1,3.0,5.0,5,1,3.0,2,we,4,1112.0,1.0,,118.69278474
201904115weS:8AM-8PM,201921151545320190426,2019,1,3.0,5.0,5,1,3.0,2,we,4,1113.0,1.0,,118.69278474
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,4.0,2,we,4,1110.0,1.0,,227.838536
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,4.0,2,we,4,1111.0,1.0,,227.838536
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,4.0,2,we,4,1112.0,1.0,,227.838536
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1117.0,1.0,,256.318353
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1118.0,1.0,,256.318353
201904115weS:8AM-8PM,201921151545320190427,2019,1,3.0,1229.0,5,1,6.0,2,we,4,1119.0,1.0,,256.318353
